long,lat,group,order,region,County,Species
-74.17511749267578,42.73119354248047,1842,54348,new york,schoharie,159
-74.16365814208984,42.702545166015625,1842,54349,new york,schoharie,159
-74.16938781738281,42.67389678955078,1842,54350,new york,schoharie,159
-74.19229888916016,42.62232971191406,1842,54351,new york,schoharie,159
-74.2094955444336,42.587955474853516,1842,54352,new york,schoharie,159
-74.23241424560547,42.56503677368164,1842,54353,new york,schoharie,159
-74.2266845703125,42.50774002075195,1842,54354,new york,schoharie,159
-74.249603271484375,42.467628479003906,1842,54355,new york,schoharie,159
-74.27252197265625,42.41606521606445,1842,54356,new york,schoharie,159
-74.25533294677734,42.410335540771484,1842,54357,new york,schoharie,159
-74.243865966796875,42.37595748901367,1842,54358,new york,schoharie,159
-74.25533294677734,42.35877227783203,1842,54359,new york,schoharie,159
-74.28397369384766,42.35877227783203,1842,54360,new york,schoharie,159
-74.341278076171875,42.35877227783203,1842,54361,new york,schoharie,159
-74.36418914794922,42.37595748901367,1842,54362,new york,schoharie,159
-74.3928451538086,42.381690979003906,1842,54363,new york,schoharie,159
-74.46159362792969,42.3530387878418,1842,54364,new york,schoharie,159
-74.61629486083984,42.41606521606445,1842,54365,new york,schoharie,159
-74.71369934082031,42.513465881347656,1842,54366,new york,schoharie,159
-74.63348388671875,42.62805938720703,1842,54367,new york,schoharie,159
-74.63348388671875,42.662437438964844,1842,54368,new york,schoharie,159
-74.66786193847656,42.77130126953125,1842,54369,new york,schoharie,159
-74.66786193847656,42.794219970703125,1842,54370,new york,schoharie,159
-74.656402587890625,42.82859420776367,1842,54371,new york,schoharie,159
-76.90812683105469,42.542118072509766,1843,54373,new york,schuyler,157
-76.70186614990234,42.55357360839844,1843,54374,new york,schuyler,157
-76.690399169921875,42.41606521606445,1843,54375,new york,schuyler,157
-76.6846694946289,42.39887619018555,1843,54376,new york,schuyler,157
-76.6846694946289,42.35877227783203,1843,54377,new york,schuyler,157
-76.690399169921875,42.290016174316406,1843,54378,new york,schuyler,157
-76.61592102050781,42.290016174316406,1843,54379,new york,schuyler,157
-76.61592102050781,42.249908447265625,1843,54380,new york,schuyler,157
-76.650299072265625,42.23271942138672,1843,54381,new york,schuyler,157
-76.66748046875,42.23844909667969,1843,54382,new york,schuyler,157
-76.690399169921875,42.244178771972656,1843,54383,new york,schuyler,157
-76.690399169921875,42.249908447265625,1843,54384,new york,schuyler,157
-76.741973876953125,42.249908447265625,1843,54385,new york,schuyler,157
-76.741973876953125,42.295745849609375,1843,54386,new york,schuyler,157
-76.83937072753906,42.295745849609375,1843,54387,new york,schuyler,157
-76.96541595458984,42.290016174316406,1843,54388,new york,schuyler,157
-76.96541595458984,42.27855682373047,1843,54389,new york,schuyler,157
-77.1086654663086,42.27855682373047,1843,54390,new york,schuyler,157
-77.11439514160156,42.49054718017578,1843,54391,new york,schuyler,157
-76.99979400634766,42.49054718017578,1843,54392,new york,schuyler,157
-76.99406433105469,42.467628479003906,1843,54393,new york,schuyler,157
-76.97115325927734,42.467628479003906,1843,54394,new york,schuyler,157
-76.96541595458984,42.4619026184082,1843,54395,new york,schuyler,157
-76.89666748046875,42.467628479003906,1843,54396,new york,schuyler,157
-76.90239715576172,42.52492904663086,1843,54397,new york,schuyler,157
-76.90812683105469,42.542118072509766,1843,54398,new york,schuyler,157
-76.959686279296875,43.01767349243164,1844,54400,new york,seneca,157
-76.73050689697266,43.023399353027344,1844,54401,new york,seneca,157
-76.736236572265625,43.00621032714844,1844,54402,new york,seneca,157
-76.741973876953125,42.98902130126953,1844,54403,new york,seneca,157
-76.73050689697266,42.954647064208984,1844,54404,new york,seneca,157
-76.741973876953125,42.92599868774414,1844,54405,new york,seneca,157
-76.736236572265625,42.903079986572266,1844,54406,new york,seneca,157
-76.71904754638672,42.87443161010742,1844,54407,new york,seneca,157
-76.71904754638672,42.85151290893555,1844,54408,new york,seneca,157
-76.73050689697266,42.8056755065918,1844,54409,new york,seneca,157
-76.741973876953125,42.77702713012695,1844,54410,new york,seneca,157
-76.736236572265625,42.75983810424805,1844,54411,new york,seneca,157
-76.736236572265625,42.7254638671875,1844,54412,new york,seneca,157
-76.6846694946289,42.67962646484375,1844,54413,new york,seneca,157
-76.66748046875,42.62805938720703,1844,54414,new york,seneca,157
-76.6560287475586,42.605140686035156,1844,54415,new york,seneca,157
-76.62737274169922,42.57649230957031,1844,54416,new york,seneca,157
-76.598724365234375,42.55357360839844,1844,54417,new york,seneca,157
-76.70186614990234,42.55357360839844,1844,54418,new york,seneca,157
-76.90812683105469,42.542118072509766,1844,54419,new york,seneca,157
-76.93677520751953,42.616600036621094,1844,54420,new york,seneca,157
-76.93677520751953,42.62232971191406,1844,54421,new york,seneca,157
-76.93104553222656,42.64524841308594,1844,54422,new york,seneca,157
-76.93104553222656,42.662437438964844,1844,54423,new york,seneca,157
-76.9539566040039,42.67389678955078,1844,54424,new york,seneca,157
-76.97115325927734,42.68535614013672,1844,54425,new york,seneca,157
-76.98261260986328,42.75983810424805,1844,54426,new york,seneca,157
-76.99406433105469,42.79994583129883,1844,54427,new york,seneca,157
-76.99406433105469,42.81140899658203,1844,54428,new york,seneca,157
-76.97688293457031,42.84005355834961,1844,54429,new york,seneca,157
-76.97688293457031,42.86870193481445,1844,54430,new york,seneca,157
-76.96541595458984,42.87443161010742,1844,54431,new york,seneca,157
-76.959686279296875,42.89162063598633,1844,54432,new york,seneca,157
-76.959686279296875,43.01767349243164,1844,54433,new york,seneca,157
-76.97115325927734,41.997806549072266,1845,54435,new york,steuben,155
-77.61286163330078,42.003536224365234,1845,54436,new york,steuben,155
-77.76183319091797,42.003536224365234,1845,54437,new york,steuben,155
-77.7389144897461,42.41606521606445,1845,54438,new york,steuben,155
-77.7331771850586,42.41606521606445,1845,54439,new york,steuben,155
-77.7331771850586,42.467628479003906,1845,54440,new york,steuben,155
-77.72745513916016,42.53065490722656,1845,54441,new york,steuben,155
-77.67015838623047,42.53065490722656,1845,54442,new york,steuben,155
-77.6644287109375,42.57649230957031,1845,54443,new york,steuben,155
-77.49253845214844,42.58222198486328,1845,54444,new york,steuben,155
-77.366485595703125,42.58222198486328,1845,54445,new york,steuben,155
-77.14876556396484,42.57649230957031,1845,54446,new york,steuben,155
-77.14876556396484,42.502010345458984,1845,54447,new york,steuben,155
